fips,state,clinton,trump,johnson,stein,mcmullin,electoral_votes,eligible_population
1,Alabama,"729,547","1,318,255","44,467","9,391",,9,"3,606,103"
2,Alaska,"116,454","163,387","18,725","5,735",,3,"519,501"
4,Arizona,"1,161,167","1,252,401","106,327","34,345",,11,"4,738,332"
5,Arkansas,"380,494","684,872","29,518","9,837","13,069",6,"2,148,441"
6,California,"8,753,788","4,483,810","478,500","278,657",,55,"25,278,803"
8,Colorado,"1,338,870","1,202,484","144,121","38,437","26,779",9,"3,978,892"
9,Connecticut,"897,572","673,215","48,051","22,841",,7,"2,572,337"
10,Delaware,"235,603","185,127","14,757","6,103",,3,"693,659"
11,District of Columbia,"282,830","12,723","4,906","4,258",,3,"516,771"
12,Florida,"4,504,975","4,617,886","207,043","64,399",,29,"14,601,373"
13,Georgia,"1,877,963","2,089,104","125,306",0,,16,"6,958,725"
15,Hawaii,"266,891","128,847","15,954","12,737",,4,"1,029,072"
16,Idaho,"189,765","409,055","28,331","8,496","46,538",4,"1,161,211"
17,Illinois,"3,090,729","2,146,015","209,596","76,802",,20,"8,983,758"
18,Indiana,"1,033,126","1,557,286","133,993",,,11,"4,860,929"
19,Iowa,"653,669","800,983","59,186","11,479","12,267",6,"2,297,129"
20,Kansas,"427,005","671,018","55,406","23,506",,6,"2,065,761"
21,Kentucky,"628,854","1,202,971","53,752","13,913","22,780",8,"3,276,707"
22,Louisiana,"780,154","1,178,638","37,978","14,031","8,546",8,"3,391,431"
23,Maine,"357,735","335,593","38,105","14,251",,4,"1,058,306"
24,Maryland,"1,677,928","943,169","79,605","35,945",,10,"4,202,282"
25,Massachusetts,"1,995,196","1,090,893","138,018","47,661",,11,"4,978,165"
26,Michigan,"2,268,839","2,279,543","172,136","51,463",,16,"7,431,589"
27,Minnesota,"1,367,716","1,322,951","112,972","36,985","53,080",10,"3,972,330"
28,Mississippi,"485,131","700,714","14,435","3,731",,6,"2,177,349"
29,Missouri,"1,071,068","1,594,511","97,359","25,419",,10,"4,519,978"
30,Montana,"177,709","279,240","28,037","7,970",,3,"803,833"
31,Nebraska,"284,494","495,961","38,946","8,775",,5,"1,353,558"
32,Nevada,"539,260","512,058","37,384",,,6,"1,970,426"
33,New Hampshire,"348,526","345,790","30,777","6,496",,4,"1,041,147"
34,New Jersey,"2,148,278","1,601,933","72,477","37,772",,14,"6,093,144"
35,New Mexico,"385,234","319,667","74,541","9,879","5,714",5,"1,459,901"
36,New York,"4,556,124","2,819,534","176,598","107,934",,29,"13,693,128"
37,North Carolina,"2,189,316","2,362,631","130,126",,,15,"7,317,507"
38,North Dakota,"93,758","216,794","21,434","3,780",,3,"582,534"
39,Ohio,"2,394,164","2,841,005","174,498","46,271",,18,"8,753,269"
40,Oklahoma,"420,375","949,136","83,481",,,7,"2,792,423"
41,Oregon,"1,002,106","782,403","94,231","50,002",,7,"3,006,638"
42,Pennsylvania,"2,926,441","2,970,733","146,715","49,941",,20,"9,737,690"
44,Rhode Island,"252,525","180,543","14,746","6,220",,4,"786,111"
45,South Carolina,"855,373","1,155,389","49,204","13,034","20,795",9,"3,702,997"
46,South Dakota,"117,458","227,721","20,850",,,3,"632,098"
47,Tennessee,"870,695","1,522,925","70,397","15,993",,11,"4,900,137"
48,Texas,"3,877,868","4,685,047","283,492","71,558",,38,"17,514,961"
49,Utah,"310,676","515,231","39,608","9,438","243,690",6,"1,993,581"
50,Vermont,"178,573","95,369","10,078","6,758",,3,"496,439"
51,Virginia,"1,981,473","1,769,443","118,274","27,638","54,054",13,"6,061,032"
53,Washington,"1,742,718","1,221,747","160,879","58,417",,12,"5,123,524"
54,West Virginia,"188,794","489,371","23,004","8,075",,5,"1,430,308"
55,Wisconsin,"1,382,536","1,405,284","106,674","31,072",,10,"4,295,057"
56,Wyoming,"55,973","174,419","13,287","2,515",,3,"431,011"
